Gene_Symbol	Num_TargetIDs
ENSG00000064703	1
ENSG00000164938	1
ENSG00000110514	1
ENSG00000076864	3
ENSG00000086015	1
ENSG00000167741	1
ENSG00000188191	1
ENSG00000167749	2
ENSG00000167748	1
ENSG00000148053	1
ENSG00000087495	1
ENSG00000169740	1
ENSG00000169744	1
ENSG00000215644	1
ENSG00000178573	1
ENSG00000059804	1
ENSG00000069482	1
ENSG00000168291	1
ENSG00000175701	1
ENSG00000204220	1
ENSG00000105877	1
ENSG00000135070	1
ENSG00000142273	1
ENSG00000131759	2
ENSG00000142279	1
ENSG00000146083	1
ENSG00000149792	1
ENSG00000149021	1
ENSG00000102471	2
ENSG00000149798	1
ENSG00000177700	2
ENSG00000177706	1
ENSG00000180644	1
ENSG00000147684	2
ENSG00000188342	1
ENSG00000166831	2
ENSG00000135617	1
ENSG00000184702	3
ENSG00000169813	1
ENSG00000145192	2
ENSG00000069956	1
ENSG00000145194	1
ENSG00000184709	1
ENSG00000163463	1
ENSG00000163464	1
ENSG00000163466	2
ENSG00000240021	1
ENSG00000163468	1
ENSG00000168036	4
ENSG00000141682	2
ENSG00000105290	3
ENSG00000179222	2
ENSG00000180398	1
ENSG00000162591	1
ENSG00000162595	1
ENSG00000118640	2
ENSG00000090776	1
ENSG00000115073	1
ENSG00000213853	2
ENSG00000213585	1
ENSG00000138347	2
ENSG00000213859	1
ENSG00000138698	1
ENSG00000014216	2
ENSG00000146221	1
ENSG00000155465	1
ENSG00000133318	3
ENSG00000133317	1
ENSG00000133315	1
ENSG00000133313	1
ENSG00000172867	1
ENSG00000100519	1
ENSG00000198894	1
ENSG00000198892	1
ENSG00000162337	1
ENSG00000198899	1
ENSG00000198898	1
ENSG00000157570	1
ENSG00000165879	1
ENSG00000067082	2
ENSG00000174429	1
ENSG00000178372	1
ENSG00000132388	1
ENSG00000114978	1
ENSG00000073464	1
ENSG00000269404	1
ENSG00000007516	2
ENSG00000119508	1
ENSG00000116574	1
ENSG00000054654	1
ENSG00000130340	1
ENSG00000099949	1
ENSG00000107562	3
ENSG00000107566	1
ENSG00000145850	1
ENSG00000101608	3
ENSG00000174136	1
ENSG00000101605	3
ENSG00000125304	1
ENSG00000198792	1
ENSG00000197958	2
ENSG00000198794	1
ENSG00000198795	1
ENSG00000197953	1
ENSG00000175550	5
ENSG00000197956	1
ENSG00000168297	1
ENSG00000103260	1
ENSG00000140319	3
ENSG00000012817	1
ENSG00000133169	1
ENSG00000169246	1
ENSG00000169245	1
ENSG00000169242	2
ENSG00000169241	1
ENSG00000107581	2
ENSG00000183864	1
ENSG00000051523	3
ENSG00000111348	3
ENSG00000124214	3
ENSG00000124212	1
ENSG00000247596	2
ENSG00000013364	2
ENSG00000111341	2
ENSG00000161970	4
ENSG00000117228	1
